Actual Name,Lowest Price,Median Price,Volume
XM1014 | Quicksilver (Battle-Scarred),"0,48€",Price not available,Volume not available
Desert Eagle | Heat Treated (Well-Worn),"2,90€","2,89€",225
★ StatTrak™ Navaja Knife | Damascus Steel (Field-Tested),"138,76€",Price not available,Volume not available
P250 | Whiteout (Minimal Wear),"49,--€","46,86€",1
Desert Eagle | Hypnotic (Factory New),"116,78€",Price not available,Volume not available
Desert Eagle | Hypnotic (Factory New),"116,78€",Price not available,Volume not available
SG 553 | Aloha (Field-Tested),"0,10€","0,09€",272
MP9 | Black Sand (Field-Tested),"0,09€","0,07€",243
R8 Revolver | Grip (Field-Tested),"0,10€","0,10€",160
XM1014 | Oxide Blaze (Field-Tested),"0,09€","0,09€",165
PP-Bizon | Night Riot (Field-Tested),"0,10€","0,10€",279
P2000 | Urban Hazard (Field-Tested),"0,09€","0,10€",130
