Actual Name,Lowest Price,Median Price,Volume
XM1014 | Quicksilver (Battle-Scarred),$0.50,Price not available,Volume not available
Desert Eagle | Heat Treated (Well-Worn),$3.06,$3.05,225
★ StatTrak™ Navaja Knife | Damascus Steel (Field-Tested),$146.05,Price not available,Volume not available
P250 | Whiteout (Minimal Wear),$51.57,$49.32,1
Desert Eagle | Hypnotic (Factory New),$122.90,Price not available,Volume not available
Desert Eagle | Hypnotic (Factory New),$122.90,Price not available,Volume not available
SG 553 | Aloha (Field-Tested),$0.10,$0.10,272
MP9 | Black Sand (Field-Tested),$0.10,$0.07,243
R8 Revolver | Grip (Field-Tested),$0.11,$0.10,160
XM1014 | Oxide Blaze (Field-Tested),$0.11,$0.09,165
PP-Bizon | Night Riot (Field-Tested),$0.11,$0.11,279
P2000 | Urban Hazard (Field-Tested),$0.09,$0.10,130
